RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30
102001,0,United States,country,,1178.21205652004,1184.6550587800602,1193.488771847376,1202.5216523384995,1211.4689874506446,1219.315411473279,1225.0471775041583,1228.6792332898367,1230.5850847013942,1231.0102201018913,1231.4512522481357,1231.9031734511145,1234.970418524869,1239.8199987636592,1245.982746603947,1253.8976749294561,1262.06882286234,1270.2182265694676,1274.8496964555427,1276.9998355437463,1276.8053783970802,1275.4120852025737,1274.2099167704625,1273.5264904200349,1278.1168257209004,1285.8238789273903,1297.3777247548655,1307.1191112207277,1316.479035378386,1323.5665548437985,1328.3874772332733,1329.8911033716356,1330.1337757724664,1328.483479137179,1328.3484612278157,1329.249505844218,1334.1242552597907,1341.4898490446392,1351.035925390654,1360.581611125241,1368.7917670422698,1376.256742191859,1381.5440878855836,1384.6463544552228,1383.8918713039172,1383.1943387847568,1383.7778388841089,1385.9089848256704,1390.0319422906148,1396.085130727438,1406.3436013023254,1416.4823012366317,1426.4017387322474,1434.3608569264452,1440.1218109530068,1443.0165654228826,1442.545209555552,1441.0220781937983,1439.8786796613015,1441.1567932642556,1446.1659167289822,1454.3075402999225,1462.7631515818878,1463.915700149755,1463.4869261035165,1464.198264562415,1469.5630441159908,1471.0014082019027,1468.5468137849143,1465.5893907083469,1464.1597329962917,1466.25050156522,1473.998811100044,1486.0832145208199,1501.526566027884,1520.543095393365,1545.679839579202,1575.2131754484,1606.0935586619116,1634.7503025105586,1658.0160360554294,1672.5392801887294,1682.021061206336,1691.3496564847628,1702.1294815834065,1717.3243804014512,1733.0604312038233,1753.5494893987418,1774.272000866902,1795.7689966362564,1813.4976608103448,1823.5601986077684,1825.780852881718,1821.1917751236087,1815.31411385496,1812.543652134938,1814.6191503323232,1821.4099610052203,1834.016979872145,1845.0362777019968,1857.1484541669324,1864.431017094348,1873.0742027725514,1877.5928570220126,1878.1359114790644,1874.8476353875985,1870.0528196669723,1867.7119301575988,1871.2161354826892,1879.336628539813,1890.4130441515204,1901.255999882677,1912.3152133657443,1921.9573673038774,1929.3421813217874,1932.5971560805297,1933.183259053437,1930.910605684522,1930.0194728319739,1929.4635235599396,1935.3332969749372,1943.956737888145,1955.805971978397,1964.9822382170073,1972.1046932884742,1977.0263995615262,1979.250778917906,1979.8523770065174,1978.6109615938994
394913,1,"New York, NY",msa,NY,2303.7991350038856,2319.1096299151664,2338.5539596799745,2358.3431804393667,2373.5327064091507,2389.4457062991887,2400.2836514480587,2410.5751333801936,2414.6422939159925,2412.6151579333714,2403.197027212458,2393.783873133378,2391.0243922481623,2395.6941113245775,2404.5955107524687,2417.432835904527,2432.1861650189417,2447.358307181295,2460.0244387957023,2464.3204878498063,2464.991944697177,2457.4645498999084,2452.888309795031,2441.0709450610775,2437.8697306411045,2438.8703132827072,2451.1010978490935,2465.966038423918,2484.187846403653,2499.0442620181216,2509.9091193874224,2512.028382496401,2510.153129203531,2496.301645664705,2480.8491412340027,2467.6708346262967,2466.507948499254,2473.892325637629,2487.234896540878,2506.7854133742885,2525.442660249943,2542.9139149674957,2555.438811417175,2564.488614538295,2564.78851835631,2555.592265373524,2544.6285586311265,2534.6028773260714,2534.534136381925,2544.0878464343377,2560.492222914281,2578.5047313428563,2598.9336414015766,2620.8298977431923,2636.6042863748767,2644.3256429931625,2642.4952438513283,2637.543938497373,2624.6131351343815,2617.0978799553727,2616.7192915818823,2630.4625275228186,2640.2688144352574,2634.0395367812225,2617.6728783360572,2594.793083414958,2569.901727456763,,,2426.9192564631257,2394.945183273703,2382.1602550686653,2380.9509729601646,2395.27750581773,2416.584027136345,2444.767481806392,2489.7839090723646,2545.4036727776233,2609.276509313679,2670.276828057255,2719.8675254515974,2754.0725913103606,2776.6813004396913,2797.4584642085115,2822.4438917263883,2854.789021384915,2893.80568244423,2935.6461518881924,2987.786191266691,3041.8817273082127,3090.440589755287,3118.5232480043846,3122.752206861311,3107.889421653836,3081.9253033223576,3062.3373159462863,3059.983839125074,3073.3971484832855,3100.559535629618,3133.5325315903515,3169.709476478171,3200.4246503197,3222.649344916031,3232.7924127259525,3231.592765729449,3217.143048459339,3196.8870044604582,3183.362794927175,3189.0913697365054,3207.597700767082,3237.4304500646617,3265.789433838657,3297.176018920157,3324.695252749734,3341.4487571946934,3346.634788598617,3337.244559545533,3323.576270758518,3314.14758831661,3309.6492434385696,3320.1117325966848,3339.1426915847096,3369.6597638513117,3401.057113339302,3429.611057724603,3462.396708223776,3492.968962874971,3514.6679940055146,3512.302416980468
753899,2,"Los Angeles, CA",msa,CA,1776.4669609496862,1788.0097418263958,1803.4929910664655,1818.5393284992595,1833.6108943483393,1845.6921568308337,1858.0389706123185,1868.3285628580934,1878.2744972201062,1883.0841084663227,1887.729258299982,1893.119942755515,1902.932986511426,1913.8786345472288,1925.5172620948626,1936.056753257333,1949.842126301131,1962.460589162093,1975.0272965902757,1981.41808460039,1986.6792079211955,1987.5385534084571,1989.3960006958507,1992.0159247396944,2005.6085061968556,2022.154878212536,2043.6075105814589,2057.587692909852,2070.891087579081,2080.2461277138054,2090.3854314979717,2095.9974302209016,2100.904533711637,2101.5129316262814,2106.2128676716266,2110.885485472232,2121.775566264076,2133.6659419807506,2144.1291518210646,2153.3164852063596,2160.8484965215503,2172.6138206945548,2182.7304477806956,2191.715299625394,2195.6842099215673,2199.771245792585,2205.0323347484155,2210.4075300498985,2215.7212079479186,2219.820090059794,2231.62993974759,2242.2073251061565,2255.285204222771,2264.452870397462,2273.0274899557035,2278.609689788648,2281.85294299513,2283.6883138463063,2286.7778763475862,2290.929602037704,2298.2193854704615,2303.170870174062,2302.6735657565014,2290.979770301702,2280.4546287260664,2275.2465844118947,2277.3063263901226,2277.1872443762622,2276.3108464322627,2276.65070191299,2277.9075783477765,2278.265910885933,2288.178662665952,2299.4267755864726,2314.5830631669546,2325.9910349594843,2345.516008088024,2379.5041341350425,2424.8970878330997,2477.1761403274963,2516.900721632976,2542.0539061474474,2556.2319881735816,2573.6469514705122,2593.068286661559,2618.7220920225313,2643.4971224631195,2674.1329266143057,2699.2405983242234,2722.875298863764,2741.8866664444004,2756.4720509267727,2762.1552436132515,2757.2805836883613,2751.4720794650407,2744.3207210219753,2743.5959693617624,2748.632272901096,2762.979520115594,2774.0009294348915,2782.9726398127004,2790.432457173366,2803.344433931032,2813.9008421358603,2817.6779482539755,2814.758457714443,2805.0682485203465,2799.400866503839,2803.449651234418,2814.2277909466998,2827.358002958199,2836.6912573844406,2848.145341638918,2860.0478418600374,2872.5083745268425,2878.9824600609704,2883.857619577634,2882.7889363379036,2880.816660824914,2876.1097816658894,2898.0640146376063,2920.5497282369342,2944.248310558306,2942.5832511336985,2946.4219038063943,2950.879918292138,2953.7586322342613,2955.1542790919125,2954.4732603997763
394463,3,"Chicago, IL",msa,IL,1358.431449127025,1365.4432002573835,1375.2713216964876,1384.4034279958316,1394.2941701790417,1403.726623478878,1408.174660691249,1410.6124046401756,1405.6341563332303,1398.7382165890226,1392.4566709563396,1393.060478364459,1400.7687738395414,1409.8537024349703,1420.892198602259,1428.3007734766359,1436.6536718077637,1443.9434960951023,1450.2957318112797,1453.683208598209,1447.2045892180142,1437.7114566272137,1426.098811516736,1420.7201808444186,1426.5609075899795,1439.9896956442096,1458.119072109031,1471.319410789914,1482.7071141692409,1488.3858990080623,1490.3107139640485,1485.8483599502013,1480.306652101378,1469.7244165203983,1463.2204560082746,1460.8229491608165,1468.931346586901,1480.1810233245435,1492.6682493228443,1503.449599569725,1513.4514394182809,1522.3648942292104,1526.6831305769701,1524.0940812864242,1513.9430360450415,1502.652817654831,1496.0940109601206,1497.187657123246,1506.2634788032624,1516.576331317947,1531.983488472678,1544.8083090337002,1556.8101150568705,1563.2995909069778,1565.9961765043945,1565.2235942587922,1560.2656652274245,1553.7740098360646,1547.206864513473,1542.4586171705266,1551.2212133727244,1562.6142744261842,1577.613105452449,1578.4695811853392,1577.8011944028735,1574.8695918468065,1574.2923679599219,1568.9240415080208,1555.1401119589852,1534.9880153823776,1518.732621515286,1512.5283294092876,1515.516419645881,1526.1542519130242,1541.994314563484,1566.5774571910385,1592.5991355746205,1617.1863624809416,1635.6385959813479,1648.036129900095,1655.3642052669006,1654.7209262415888,1655.1058589903255,1660.4106182751311,1673.7154726320503,1689.0458207856543,1708.4086069900861,1731.747357949652,1757.1741559200768,1777.1498664454284,1792.8315963574291,1799.941551366916,1801.0144153941264,1796.6913967242228,1791.9325519944086,1792.37593465417,1799.553947222833,1813.812625530666,1831.6824266356641,1850.2037850317256,1871.062617387025,1888.508651472195,1900.1947662354737,1906.1322926624453,1902.8634319594282,1896.2998411143642,1889.2110559356431,1891.330945786211,1900.23780904139,1914.7589885601083,1929.594492520877,1948.7143319854365,1965.5609762764568,1981.816188768429,1990.3351298632922,1993.7476213946254,1992.6392636793698,1991.7965707280832,1992.5994682780736,1997.5818463691526,2005.918386290132,2022.283897305635,2040.1655218978449,2061.587645375471,2080.772860407542,2099.113252944002,2110.237704939028,2114.332314655465,2112.805643818459
394514,4,"Dallas, TX",msa,TX,1074.4305313826994,1079.2723180030719,1086.9357122210452,1098.4446987565395,1107.972744951274,1116.2544197642767,1122.6543646835144,1125.9684152491673,1127.1683178959624,1126.6297391963767,1127.5295952888384,1129.3883410543237,1131.5236123290445,1137.362975448176,1145.7610562975137,1156.3794488563592,1164.5416456964213,1171.372317751034,1176.1963049535902,1179.4785332947556,1179.6525059252629,1180.273775194467,1179.830534965523,1180.4878583702407,1185.560576503744,1191.6886406666035,1204.2745029266553,1213.139473678019,1225.3988857661807,1231.5560003192968,1236.3207592339215,1237.5672239551684,1236.679414025044,1234.456377372666,1235.8969439101907,1236.249301533399,1241.0549708470883,1246.989380517967,1254.293232095038,1261.8645721659577,1266.959856738328,1274.9652513840635,1278.512336016974,1279.754571727498,1277.0538711220815,1279.6520839429236,1281.0274855903917,1283.8468079418446,1285.6046980939172,1289.8584004699326,1300.538056021066,1309.5303880855613,1318.3483928354162,1324.8601114469138,1327.8647568150218,1329.8427241503318,1328.5685552055438,1328.0679024590147,1326.201177503732,1323.3932803647606,1325.477013087866,1331.3091025461654,1339.3129557195057,1340.4270641210787,1339.927723495816,1340.830540851654,1344.8028033553835,1348.5992060051603,1350.5937094665405,1353.0532263009513,1354.1331200525913,1357.742585290948,1364.7415123877004,1375.9212812171818,1387.315968396626,1405.371078969582,1429.3729693758928,1461.8415511514165,1494.909230167489,1525.9666530104123,1548.8138154897733,1562.6206787763663,1573.2616210421324,1582.8848840177438,1594.3822543161448,1606.219062824713,1619.2851343432455,1638.0609545939476,1660.1820642383145,1688.2034631634267,1708.4491307995727,1715.8411627283983,1710.5895341863463,1696.6814113452447,1686.4027312477153,1678.2863803052603,1678.3394254130615,1681.1695595090657,1692.4833127226664,1696.861766760792,1704.6768937960544,1706.938638680623,1714.0186097827323,1714.413034976892,1709.7806801357879,1701.634990318483,1694.015187156855,1686.2256400732233,1683.1533514959303,1681.9039331038314,1686.0986650214504,1691.2655979307003,1698.3048128892262,1704.4559075147956,1708.6515455998529,1709.440387683322,1704.124280885406,1698.633318144741,1692.1186851841846,1688.2414373957142,1687.4882065389081,1694.330278798481,1703.788174650251,1713.7208214727455,1716.175108259454,1716.9889953438455,1713.7850729252307,1710.2201982936874,1706.1034549523683
394692,5,"Houston, TX",msa,TX,1216.7570428667843,1220.5976763405547,1227.2198008654705,1237.4074382697347,1246.6735077976168,1255.0498310570522,1256.673370839085,1257.6859540378216,1255.4802799745878,1252.5365536526283,1249.150789374633,1245.7639210849009,1246.2706851183782,1248.1476434164417,1254.3162619623356,1258.7496036525858,1262.0195523069503,1263.2872276877206,1262.5659874996097,1259.9738830022516,1254.3131025514208,1250.5245513988618,1244.8689687415017,1242.7959685165467,1243.5169228521152,1251.4632645757292,1259.8839730108127,1265.0301789031087,1272.5735201657312,1274.3377056164586,1274.953041455075,1270.0338804926164,1277.0860408268047,1285.048033813827,1295.8074732068746,1300.7081726583194,1303.8276867557129,1309.6237036674704,1311.936911998472,1319.0288773310617,1321.7663976643978,1326.7337756316265,1326.7106393784718,1325.1391652727445,1321.437366321841,1321.5240522898055,1323.858409300613,1323.4255078783553,1323.8987949506293,1322.48602296566,1329.7280204585138,1335.2174424682314,1344.0945222955172,1349.882357988242,1353.4016710148992,1352.6837756902203,1349.5239759320389,1348.7595498394212,1348.8751323897743,1352.1737094612154,1354.957639170958,1360.855540353014,1366.1851134497415,1363.262727208455,1357.3489635389867,1353.0376892563797,1357.3472845820822,1362.6347091672885,1362.991111112895,1364.8838105759219,1365.936686855478,1366.6249481724535,1369.916808127445,1372.0602696566975,1381.2223555236212,1393.8638095696388,1415.2024870392665,1442.0998043642185,1467.7340974114666,1491.1586303522001,1504.049020063831,1511.1827804430068,1514.4247798808685,1518.6096199554988,1524.4535675340069,1534.6257957400292,1545.2575342367707,1559.1470185090943,1570.9665700908708,1586.6747312346472,1598.1013730112809,1604.6449821176238,1602.2002375224372,1595.965760187841,1588.7151174027633,1586.612024970139,1589.6454277894218,1597.5169412933383,1608.9190819501935,1615.48643836216,1624.4709316359106,1631.5998625374698,1638.097825770954,1639.3362422403245,1634.7582807701724,1629.6233932679706,1624.4380035885956,1623.0040550202168,1625.0744061681357,1629.7861442093858,1634.0530911255787,1641.6961202559817,1650.1783117497787,1658.7786253240447,1663.3300606781106,1665.8991451180882,1666.463042612808,1665.5014426012174,1662.5742897717123,1660.6227488348977,1661.5885070577247,1666.5041678301598,1675.5558758809907,1680.3690966571016,1681.7592773258234,1674.419455078201,1674.7672425809424,1673.138786919767,1674.7004523753542
395209,6,"Washington, DC",msa,VA,1707.0326273435535,1713.3955519144877,1725.3433223713573,1734.2235163689013,1742.6884370203354,1749.1312788464284,1753.0888307397786,1750.785249269707,1750.1333468841765,1745.338675633562,1745.1534937702959,1740.473536199228,1744.1362366684712,1747.7122908431509,1756.7630353897864,1763.5506458373998,1771.7628050835033,1777.5913350260846,1782.5650007299455,1784.0386706329512,1780.1968138779334,1774.6257852057436,1768.9566675176347,1766.6940106249247,1771.8412619673522,1783.60552628422,1797.3202040570093,1808.619955505687,1815.3414934355421,1822.5238678559037,1825.3783812045044,1825.274291727282,1822.9560912179466,1818.218129509019,1812.7847137299752,1809.2244393028927,1811.9938189125992,1818.427166194938,1831.0042944936629,1843.0190399002033,1854.4459411961438,1862.828970240358,1868.1762207368408,1872.846257736577,1867.9574082441768,1865.6612966482191,1865.6813388698865,1870.838059580019,1875.3794359392734,1881.9410795881327,1891.6114867213303,1903.0178012263823,1914.107532693124,1922.8373489016988,1928.293679490737,1929.1994454411526,1929.626152436719,1923.8526389787469,1917.9401677755393,1917.6329533456967,1925.6929822055602,1934.5549777831175,1945.3777862238087,1945.3719396831323,1943.8896398955656,1937.0623922064901,1935.7377351334594,1931.6479798419043,1918.797144014748,1901.0189773411896,1881.1902735028746,1870.0608325625017,1872.3048888780218,1880.7878423292987,1891.6063321812678,1906.689983747095,1934.4404602560833,1972.4413866592706,2010.093666925316,2041.340210792904,2059.8598887915105,2069.4781543675335,2069.7231760549257,2069.5568630974444,2071.114983950282,2082.286532676845,2100.682659833819,2124.9864408799854,2150.7811762737556,2177.0165098873267,2201.454257821083,2213.027723725319,2212.883269148041,2196.621147627079,2179.9148314323047,2166.7226972730173,2168.347034302883,2180.538042514873,2204.939654796578,2221.184134361855,2239.398994596236,2250.491827771515,2267.084177955456,2277.2527353086184,2279.564456484952,2276.0490933489036,2268.040475578034,2261.0655445101497,2264.2679904166234,2278.3988943559225,2299.297472546873,2319.0031604489454,2338.812042069137,2359.049785870526,2375.0211389477045,2382.5568956378315,2381.6188712367907,2372.661534149604,2364.980646705342,2358.8822891064465,2369.8094268096834,2385.1498226768445,2406.8318242979894,2418.98781223713,2427.0433548928,2430.9343204686306,2429.839907619422,2425.0790731616275,2414.3079106923606
394974,7,"Philadelphia, PA",msa,PA,1202.343378713593,1208.5188777966712,1221.544147119842,1228.3199858501328,1234.4892218176753,1237.4366004785165,1239.5631819352047,1240.2986184360182,1239.4047709338101,1238.138426487847,1233.979116564497,1230.8268364629605,1231.9861045516686,1240.4914704493378,1250.1701461686282,1259.395566122984,1265.9663571905667,1273.075387075807,1274.1303738168021,1273.840916795642,1270.2554054853492,1268.6606401246727,1270.4429924480544,1271.4497932516952,1275.896558562844,1281.8092356403736,1293.0861915127086,1301.9880461734092,1307.7608420569552,1308.6588633865997,1309.2196807255866,1308.8916492994344,1308.0712812866886,1307.41259976928,1306.7764529818023,1309.8929667234668,1313.0548611828378,1321.0880747151991,1331.8311277442508,1341.7902918759323,1350.359449354359,1353.7465898374362,1354.461014071959,1353.2800280589277,1351.3629316508902,1352.6828445620818,1356.0759527641503,1357.093480274329,1361.968232816866,1368.2548937608585,1382.2848507335996,1393.2234104644738,1400.5803484288945,1407.8721617948643,1411.5998130118428,1411.5772299701594,1407.5285271004607,1406.0530784623918,1405.9681060818355,1408.4530439048897,1412.0058613843837,1423.413726854807,1434.7923918206618,1439.8238759380858,1440.5716450225466,1441.8304620131476,1447.4393659002753,1447.4258788973382,1445.91905429336,1444.202569296462,1444.9173057629678,1447.6266378306611,1453.4126545294532,1462.1764719295861,1471.7795826528195,1487.2818375471218,1508.7380050012812,1530.1901219974543,1548.5471737685068,1563.9177051194952,1572.1823806312148,1581.205524250585,1589.2510663027558,1605.1795518149063,1616.3266268055747,1628.2195736518738,1639.202495636384,1653.7006083552747,1668.49007571515,1682.9377866525026,1694.5450496686274,1699.3734180449992,1699.3484791230776,1693.6894865610277,1691.142314135692,1688.3320387496603,1692.9163105614193,1696.4124455898154,1709.0171377778133,1718.9196511700793,1731.2900660455784,1736.6374427573357,1743.7423455933942,1748.7745962517154,1753.6399206066883,1754.8472893784722,1753.2360086279082,1751.2581745458044,1753.258406276759,1761.9082030560767,1771.719874354478,1781.9396237003027,1791.2907525323283,1800.4919245342792,1806.5806625145683,1810.6002846437702,1813.424974164423,1817.0239599054657,1821.2827304171904,1827.8033146081727,1834.264364537179,1840.0045991564366,1841.919538300017,1845.2241252898148,1850.2193341332654,1857.976699721269,1870.5528283064916,1875.818190329026,1880.9150950874443
394856,8,"Miami, FL",msa,FL,1470.5958742040784,1476.3379757815162,1481.9002065598222,1488.7771880228647,1497.4147901149877,1505.976161978881,1514.9461980083972,1522.3205938442218,1533.579805184507,1541.053990734425,1550.7999903154298,1553.5052637131757,1556.9821895276616,1558.0124528485267,1560.7581662639657,1562.1141161774524,1561.60322992661,1561.6884838792273,1563.83034607047,1566.6029259389409,1571.7511491551754,1574.8709609716523,1578.8764079991297,1577.9149922641147,1582.4526790712468,1585.8474879341168,1593.9000625816911,1596.2064733643026,1598.6547604982682,1601.5552794447517,1606.9218656011974,1614.0771711401428,1620.8178694983412,1626.08770292348,1627.5846740961604,1628.51659406228,1630.2690705144175,1633.2213805567853,1637.0278311173095,1641.1589831196648,1645.1544025358805,1650.3525369478568,1655.8771853522885,1662.6486700714477,1667.597242276858,1674.676809603206,1680.9854014874973,1685.9658242630826,1685.2141886075806,1683.7034862102066,1684.6612369642378,1687.7902045570152,1693.078685923871,1697.2946454393837,1702.5603651329195,1706.7074130687645,1712.759135921103,1722.1227837235792,1732.1791270000836,1738.7238242886804,1740.4054457101,1743.0633125411475,1744.0419982050087,1738.255557442292,1729.5321207039385,1728.1885673837953,1733.6304219020344,1739.169097921915,1744.534121627372,1757.1623734962457,1775.2098369714174,1790.842955325486,1806.5674036387707,1829.0676275925587,1857.8857300879777,1891.5363519473367,1930.966911937263,,,2109.366668996932,2166.426655178841,2208.5607190993614,2253.2530757792783,2300.0414837253115,2341.5881343292435,2375.1425000228055,2411.4048483183865,2452.53473675755,2491.549038839805,2518.4670894193314,2537.5128213837256,2545.575370454222,2553.30966717157,2556.0551932561207,2562.790041550169,2566.576440302316,2568.652466565253,2570.4928284772564,2575.991451959037,2582.0040694846125,2588.697404836644,2592.661231964665,2596.124407948403,2599.7998356407497,2603.2866723955863,2612.018101803679,2616.175153683696,2613.0377131485143,2611.354154862962,2616.426378651178,2627.076725543028,2634.7267473679244,2637.688956558272,2640.6014649789263,2645.350737302554,2650.570446031652,2657.2959216413797,2660.4961570455794,2664.516370461838,2666.705867711376,2671.0099957046227,2674.3661348413225,2679.5510003583786,2681.0667294489904,2680.652768654966,2678.5091982713316,2678.2482540951446,2678.864079399935,2678.8390993503217
394347,9,"Atlanta, GA",msa,GA,1015.3517923812606,1019.7167146177893,1022.8696667321681,1032.8788374326498,1041.146106801684,1052.9073385653578,1058.8120970170878,1061.980661449428,1062.165888308209,1063.1932140363906,1064.2544861467413,1068.204805684074,1071.4991751510993,1078.2251453460822,1085.188928461011,1092.815716180575,1101.869777823271,1110.8829299966255,1119.6889102059906,1123.4336470783694,1123.6165126629846,1123.7789368883657,1124.4118436427145,1126.5169039675104,1130.5861621728086,1138.6639032274504,1150.1067284002802,1162.0842727117836,1174.313825180689,1184.5844021412943,1193.3889592211954,1196.8674747423445,1198.7969278306934,1195.6750423111625,1197.7650801005623,1199.1308323749886,1206.316894015566,1213.8163688883685,1225.330237453694,1237.047715212072,1248.386233621363,1257.185424206957,1263.0754404743964,1265.5725289622974,1265.4010969668018,1271.0266265075597,1276.0754394457038,1281.8501248763257,1286.790914318224,1293.7995949537683,1305.864483753529,1317.1397928664915,1328.1947063017872,1336.7882685410507,1341.409275879597,1345.33201518507,1346.9624728958381,1345.795264612557,1343.150127691554,1343.3227782624701,1348.0206752906956,1356.0095351613077,1364.5513588465053,1368.6884646419387,1373.0324727143102,1380.3058642401993,1394.9699689224442,1408.305055851258,1417.0262713040863,1422.7686056464652,1427.8630497042082,1435.0203955178158,1448.9710525015328,1466.7594645755073,1485.5354106035293,1507.1766473834261,1534.7648326604235,1573.2454169670862,1614.7152705965289,1656.5053456194817,1687.5749168215186,1706.5950480278418,1713.9774032881612,1716.1819958684657,1718.4988201591802,1723.300073540929,1735.0147624716108,1748.9426774117758,1769.126432145994,1788.7432483266912,1811.2750514912927,1822.7624266046314,1824.9632900143874,1814.5743494017909,1803.9662920966616,1799.4544237199536,1797.8568932981918,1802.4892563494602,1813.84081572333,1821.6425622149268,1828.293753179472,1827.7968070654915,1832.6814529464934,1831.6021215297058,1827.8764552681218,1816.0020338693444,1804.2531209568924,1795.0145252145228,1798.6637996340608,1808.5310717622851,1815.7522985150779,1820.6851293698467,1825.8016809677567,1832.5085767338783,1836.9461251423963,1835.134955566974,1836.5023316146567,1832.7391893157305,1831.1471061760385,1827.2408805096134,1833.1678271437104,1846.1585712441183,1858.080666151939,1864.8825522941806,1866.3666042526224,1868.537231675649,1873.3458948005537,1878.5393624341111,1882.2899548247253
