state,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ri,1114.1013816431948,1171.1045813900118,1230.7145274743625,1303.0505297878651,1370.607405726805,1446.6799053328834,1607.1240031895911,1795.5881748609017,1927.3615776294757,2050.7689031422783,2153.2563308836984
sc,971.8566530956392,1010.0515597488503,1054.8782716956396,1102.267344391713,1110.5838864302086,1154.3140302665684,1275.9908145313116,1429.5449679648739,1470.1179475970905,1469.9434367064619,1525.5553662530065
sd,,861.8729367154288,900.8817067494538,920.3780693707855,935.7447740305855,967.9237736062789,1059.542977322682,1135.8518402643497,1173.1053251683513,1225.8453044927012,1221.9877361905249
tn,923.9822440885844,926.6711826931733,958.6375925177211,996.1798038895369,1044.1254967667576,1087.7131868459003,1165.841753784387,1304.3716920290722,1353.1455587610724,1414.0939660428965,1436.9893800540758
tx,971.4680993434583,994.2518312444588,1029.5892709816824,1076.053571376655,1114.84101273818,1128.8806308997873,1194.5233529092802,1306.0445568804353,1340.1046687517728,1345.1055860175197,1387.155850213606
ut,998.2717997112998,1054.7423365933134,1122.6225808797194,1189.3801177281882,1439.2652057784683,1511.9274234739587,1741.9145224205804,1780.7530780123932,1821.2047512126233,1857.3160871252853,1830.968396811701
va,1075.2706256006124,1104.8635688258287,1142.6257094265202,1138.6396258635752,1183.3643583951966,1233.1222868596437,1332.4937550245845,1476.9372882201826,1437.2798424507635,1511.4811359804808,1514.3355425630662
vt,,1644.928434642316,1716.736309350971,1774.7937122260657,1817.066196557316,1870.692710860434,1996.0108890049894,2228.594500682237,2396.7478786224838,1965.3239159228206,1746.194836500601
wa,1045.686154932457,1121.6886930313785,1212.4679199475595,1299.9057146892715,1366.9756440739282,1437.4616262848558,1592.96351732796,1567.1556245105794,1618.9774233317792,1679.8368591089109,1729.8109492905378
wi,1052.8695379803914,931.3509404917831,959.2514313713127,990.2929291639598,1004.8897435522402,1045.1205847261895,1098.8903096319884,1063.0571167001603,1134.7995245914963,1153.6028438393676,1182.625590646574
wv,,907.2891277159374,927.7101004772331,942.7428598657643,957.3945367938134,985.1662529082632,959.5058146470275,1016.3177151577939,979.301833580874,1006.9587100538992,1064.0772879509734
wy,942.2219025569557,934.047064045905,916.9826907165832,932.4454006336352,977.4887605662591,962.1934353990765,1004.5056381837863,1093.6210376771564,1181.3333710446623,1515.7967099423,1566.4685012079783
